timestamp,test_name,k,g,s,success_rate,trials
2026-09-08T16:41:01.290965,Test 1,2,5,2,100.0,10
2026-09-08T16:41:01.290965,Test 2,2,5,2,100.0,10
2026-09-08T16:41:01.290965,Test 3,2,5,2,100.0,10
2026-09-08T16:41:01.292092,Test 1,2,5,3,100.0,10
2026-09-08T16:41:01.292092,Test 2,2,5,3,100.0,10
2026-09-08T16:41:01.292092,Test 3,2,5,3,50.0,10
2026-09-08T16:41:01.295166,Test 1,2,5,4,100.0,10
2026-09-08T16:41:01.295166,Test 2,2,5,4,100.0,10
2026-09-08T16:41:01.295166,Test 3,2,5,4,40.0,10
2026-09-08T16:41:01.296701,Test 1,2,5,5,100.0,10
2026-09-08T16:41:01.296701,Test 2,2,5,5,100.0,10
2026-09-08T16:41:01.296701,Test 3,2,5,5,30.0,10
2026-09-08T16:41:01.298478,Test 1,2,6,2,100.0,10
2026-09-08T16:41:01.298478,Test 2,2,6,2,100.0,10
2026-09-08T16:41:01.298478,Test 3,2,6,2,90.0,10
2026-09-08T16:41:01.300149,Test 1,2,6,3,100.0,10
2026-09-08T16:41:01.300149,Test 2,2,6,3,100.0,10
2026-09-08T16:41:01.300149,Test 3,2,6,3,80.0,10
2026-09-08T16:41:01.302884,Test 1,2,6,4,100.0,10
2026-09-08T16:41:01.302884,Test 2,2,6,4,100.0,10
2026-09-08T16:41:01.302884,Test 3,2,6,4,60.0,10
2026-09-08T16:41:01.304569,Test 1,2,6,5,100.0,10
2026-09-08T16:41:01.304569,Test 2,2,6,5,100.0,10
2026-09-08T16:41:01.304569,Test 3,2,6,5,0.0,10
2026-09-08T16:41:01.308117,Test 1,2,6,6,100.0,10
2026-09-08T16:41:01.308117,Test 2,2,6,6,100.0,10
2026-09-08T16:41:01.308117,Test 3,2,6,6,10.0,10
2026-09-08T16:41:01.310096,Test 1,2,8,2,100.0,10
2026-09-08T16:41:01.310096,Test 2,2,8,2,100.0,10
2026-09-08T16:41:01.310096,Test 3,2,8,2,80.0,10
