timestamp,phase,status,elapsed_ms,initial_nodes,added_node_count,max_neighbors,details,edge_case_note,failed_nodes_count,metadata
2026-06-21T01:24:48+07:00,Phase 1,PARTIAL,120265,10,6,4,Timed out waiting for full neighbors; 1 node(s) still did not reach MAX_NEIGHBORS: node-9,,1,"{""expected_active_nodes"": 10, ""max_neighbors"": 4, ""timed_out"": true}"
2026-06-21T01:25:00+07:00,Phase R,PASS,11375,10,6,4,Restarted 1 deficient node(s) after Phase 1 timeout,,0,"{""trigger_phase"": ""Phase 1"", ""restarted_nodes"": [""node-9""], ""expected_active_nodes"": 10, ""max_neighbors"": 4, ""timed_out"": false}"
2026-06-21T01:25:23+07:00,Phase 2,PASS,12922,10,6,4,First failure report observed for node-5,,0,"{""victim"": ""node-5"", ""max_neighbors"": 4, ""timed_out"": false}"
2026-06-21T01:25:50+07:00,Phase 3,PASS,26297,10,6,4,node-5 removed from neighbor lists; active nodes returned to MAX_NEIGHBORS,,0,"{""victim"": ""node-5"", ""expected_active_nodes"": 9, ""max_neighbors"": 4, ""timed_out"": false}"
2026-06-21T01:28:33+07:00,Phase 4,PARTIAL,153484,10,6,4,Timed out waiting after adding nodes; 1 node(s) still did not reach MAX_NEIGHBORS: node-15,,1,"{""added_nodes"": [""node-10"", ""node-11"", ""node-12"", ""node-13"", ""node-14"", ""node-15""], ""expected_active_nodes"": 15, ""max_neighbors"": 4, ""timed_out"": true}"
2026-06-21T01:28:47+07:00,Phase R,PASS,13469,10,6,4,Restarted 1 deficient node(s) after Phase 4 timeout,,0,"{""trigger_phase"": ""Phase 4"", ""restarted_nodes"": [""node-15""], ""expected_active_nodes"": 15, ""max_neighbors"": 4, ""timed_out"": false}"
2026-06-21T01:29:25+07:00,Phase 5,PASS,27641,10,6,4,Detected death of 6 nodes and active nodes returned to MAX_NEIGHBORS,,0,"{""victims"": [""node-3"", ""node-7"", ""node-1"", ""node-8"", ""node-15"", ""node-2""], ""expected_active_nodes"": 9, ""max_neighbors"": 4, ""timed_out"": false}"
2026-06-21T01:37:33+07:00,Phase 1,PASS,6203,10,6,4,10 active nodes reached MAX_NEIGHBORS,,0,"{""expected_active_nodes"": 10, ""max_neighbors"": 4, ""timed_out"": false}"
2026-06-21T01:37:56+07:00,Phase 2,PASS,13546,10,6,4,First failure report observed for node-5,,0,"{""victim"": ""node-5"", ""max_neighbors"": 4, ""timed_out"": false}"
2026-06-21T01:38:19+07:00,Phase 3,PASS,22250,10,6,4,node-5 removed from neighbor lists; active nodes returned to MAX_NEIGHBORS,,0,"{""victim"": ""node-5"", ""expected_active_nodes"": 9, ""max_neighbors"": 4, ""timed_out"": false}"
2026-06-21T01:39:25+07:00,Phase 4,PASS,55938,10,6,4,Added 6 nodes and reached MAX_NEIGHBORS,,0,"{""added_nodes"": [""node-10"", ""node-11"", ""node-12"", ""node-13"", ""node-14"", ""node-15""], ""expected_active_nodes"": 15, ""max_neighbors"": 4, ""timed_out"": false}"
2026-06-21T01:39:56+07:00,Phase 5,PASS,20875,10,6,4,Detected death of 6 nodes and active nodes returned to MAX_NEIGHBORS,,0,"{""victims"": [""node-8"", ""node-12"", ""node-9"", ""node-6"", ""node-13"", ""node-15""], ""expected_active_nodes"": 9, ""max_neighbors"": 4, ""timed_out"": false}"
